,Latitude_h,Longitude_h,amenity_Referral Hospital,amenity_Teaching Hospital,amenity_Type A Hospital,amenity_Type B Hospital,amenity_Type C Hospital,amenity_Type D Hospital,amenity_clinic,amenity_dentist,amenity_doctors,amenity_hospital,amenity_pharmacy
322,15.5597012,32.5491773,False,False,False,False,False,False,False,False,False,False,True
323,15.6187464,32.4780132,False,False,False,False,False,False,False,False,False,False,True
324,15.61885,32.481125,False,False,False,False,False,False,False,False,False,False,True
325,15.618063,32.4711876,False,False,False,False,False,False,False,False,False,False,True
326,15.6403122,32.4858131,False,False,False,False,False,False,False,False,False,False,True
327,15.6326876,32.5749359,False,False,False,False,False,False,False,False,False,False,True
328,15.6265621,32.5295639,False,False,False,False,False,False,False,False,False,False,True
329,15.6298607,32.5605426,False,False,False,False,False,False,False,False,False,False,True
330,15.5343122,32.4888115,False,False,False,False,False,False,False,False,False,False,True
331,15.5255623,32.5011864,False,False,False,False,False,False,False,False,False,False,True
332,15.5298128,32.5160637,False,False,False,False,False,False,False,False,False,False,True
333,15.559364,32.5637016,False,False,False,False,False,False,True,False,False,False,False
334,15.5293121,32.5394363,False,False,False,False,False,False,False,False,False,False,True
335,15.5291872,32.5374374,False,False,False,False,False,False,False,False,False,False,True
336,15.5294371,32.5406876,False,False,False,False,False,False,False,False,False,False,True
337,15.5289373,32.5353127,False,False,False,False,False,False,False,False,False,False,True
338,15.5325684,32.4959376,False,False,False,False,False,False,False,False,False,False,True
339,15.5250461,32.4982774,False,False,False,False,False,False,False,False,False,False,True
340,15.700736,32.5071352,False,False,False,False,False,False,False,False,False,False,True
341,15.7223859,32.4762602,False,False,False,False,False,False,False,False,False,False,True
342,15.5718908,32.6126488,False,False,False,False,False,False,False,False,False,False,True
343,15.572464,32.612613,False,False,False,False,False,False,False,False,False,False,True
344,15.5798426,32.610466,False,False,False,False,False,False,False,False,False,False,True
345,15.5976816,32.6241915,False,False,False,False,False,False,False,False,False,False,True
346,15.6009184,32.6167371,False,False,False,False,False,False,False,False,False,False,True
347,15.5989011,32.6147552,False,False,False,False,False,False,False,False,False,False,True
348,15.5994236,32.6108949,False,False,False,False,False,False,False,False,False,False,True
349,15.6034789,32.6165042,False,False,False,False,False,False,False,False,False,False,True
350,15.6043917,32.6184308,False,False,False,False,False,False,False,False,False,False,True
351,15.6063114,32.6162285,False,False,False,False,False,False,False,False,False,False,True
352,15.6031641,32.6077881,False,False,False,False,False,False,False,False,True,False,False
353,15.576438,32.5631866,False,False,False,False,False,False,False,False,False,False,True
354,15.5770626,32.5705643,False,False,False,False,False,False,False,False,False,True,False
355,15.5921879,32.4466858,False,False,False,False,False,False,False,False,False,False,True
356,15.5888128,32.4553108,False,False,False,False,False,False,False,False,False,False,True
357,15.591641,32.4588821,False,False,False,False,False,False,False,False,False,False,True
358,15.5901864,32.4586266,False,False,False,False,False,False,True,False,False,False,False
359,13.5043193,32.5979546,False,False,False,False,False,False,True,False,False,False,False
360,15.6689763,32.5056292,False,False,False,False,False,False,False,False,False,False,True
361,15.67806,32.4805958,False,False,False,False,False,False,False,False,False,True,False
362,15.6715595,32.4770044,False,False,False,False,False,False,False,False,False,False,True
363,15.7205023,32.4962975,False,False,False,False,False,False,False,False,False,False,True
364,15.5911053,32.6165931,False,False,False,False,False,False,False,False,False,False,True
365,15.594957,32.6126437,False,False,False,False,False,False,False,False,False,False,True
366,15.5845845,32.6092023,False,False,False,False,False,False,False,False,False,False,True
367,15.5910619,32.5273363,False,False,False,False,False,False,False,False,False,False,True
368,15.5910505,32.6329909,False,False,False,False,False,False,False,False,False,False,True
369,15.6025331,32.6301597,False,False,False,False,False,False,False,False,False,False,True
370,15.5896873,32.4629364,False,False,False,False,False,False,False,False,False,False,True
371,15.5192087,32.4978751,False,False,False,False,False,False,True,False,False,False,False
372,15.4923849,32.5607225,False,False,False,False,False,False,False,False,False,False,True
373,15.4598818,32.4961544,False,False,False,False,False,False,False,False,False,False,True
374,15.4804064,32.4860515,False,False,False,False,False,False,False,False,False,False,True
375,15.4490623,32.5198135,False,False,False,False,False,False,False,False,False,False,True
376,15.523851,32.5876629,False,False,False,False,False,False,False,False,False,False,True
377,15.598696,32.5298443,False,False,False,False,False,False,False,False,False,True,False
378,15.6481876,32.440937,False,False,False,False,False,False,False,False,False,False,True
379,15.6479378,32.4354362,False,False,False,False,False,False,False,False,False,False,True
